datetime,pm25,no2,o3
2020-01-01 00:00:00+00:00,280.222,36.917,6.957
2020-01-01 01:00:00+00:00,67.294,38.92725,5.35
2020-01-01 02:00:00+00:00,60.912,35.664500000000004,6.9575
2020-01-01 03:00:00+00:00,55.327,32.88466666666667,9.708
2020-01-01 04:00:00+00:00,47.966,27.439500000000002,15.1925
2020-01-01 05:00:00+00:00,42.657,24.9045,19.881999999999998
2020-01-01 06:00:00+00:00,39.203,22.77675,20.5735
2020-01-01 07:00:00+00:00,33.566,18.39075,25.655
2020-01-01 08:00:00+00:00,28.529,16.761499999999998,28.5835
2020-01-01 09:00:00+00:00,26.354,14.17075,32.1975
2020-01-01 10:00:00+00:00,21.226,12.4285,37.555
2020-01-01 11:00:00+00:00,19.056,12.7385,39.5475
2020-01-01 12:00:00+00:00,16.389,12.653500000000001,42.394999999999996
2020-01-01 13:00:00+00:00,20.277,14.83375,41.078500000000005
2020-01-01 14:00:00+00:00,22.219,16.98575,36.8905
2020-01-01 15:00:00+00:00,21.275,22.085,33.2265
2020-01-01 16:00:00+00:00,19.659,30.05925,25.967
2020-01-01 17:00:00+00:00,20.943,30.582,20.9185
2020-01-01 18:00:00+00:00,20.572,30.062,18.543
2020-01-01 19:00:00+00:00,23.005,32.122,16.575499999999998
2020-01-01 20:00:00+00:00,25.061,33.25575,12.161000000000001
2020-01-01 21:00:00+00:00,28.096,32.8125,10.1705
2020-01-01 22:00:00+00:00,29.933,34.3825,7.753
2020-01-01 23:00:00+00:00,31.554,35.867000000000004,5.1579999999999995
2020-01-02 00:00:00+00:00,35.928,31.0745,8.177
2020-01-02 01:00:00+00:00,37.378,27.37825,9.097999999999999
2020-01-02 02:00:00+00:00,34.095,28.83375,4.613
2020-01-02 03:00:00+00:00,31.002,27.719,2.407
2020-01-02 04:00:00+00:00,25.233,25.017,5.925
2020-01-02 05:00:00+00:00,27.209,28.472,3.3545000000000003
2020-01-02 06:00:00+00:00,16.396,30.152,2.3640000000000003
2020-01-02 07:00:00+00:00,18.318,32.20225,2.726
2020-01-02 08:00:00+00:00,21.935,35.6645,1.6769999999999998
2020-01-02 09:00:00+00:00,24.661,34.396750000000004,2.947
2020-01-02 10:00:00+00:00,24.557,33.5035,5.7044999999999995
2020-01-02 11:00:00+00:00,24.444,28.3765,10.9345
2020-01-02 12:00:00+00:00,22.049,25.2955,18.223
